59892,2019-03-31,Amanda Logan,Corporate Counsel,15 Bull Street,#200,Savannah,Ga,31401,2685,9125032826,8665914638,0,1,0,0,0,76,2,0,0,0,77,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,1301.150649,7,0,0,0,98843.43,8,0,0,0,23,9A,0,0,0,0,9B,0,0,0,0,9C,0,0,0,0,10A,0,0,0,54.2354,10B,0,0,0,90.5747,10C,0,0,0,275.8981,10D,0,0,,150,10E,0,0,0,223,10F,0,0,0,115,10G,0,0,0,17,10H,0,0,0,20633.87,10I,0,0,0,184,TracyYoung,CEO
59893,2019-03-31,Amanda Logan,Corporate Counsel,15 Bull Street,#200,Savannah,Ga,31401,2685,9125032826,8665914638,0,1,0,0,0,156,2,0,0,0,159,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,1249.663851,7,0,0,0,200344.59,8,0,0,0,31,9A,0,0,0,1,9B,0,0,0,1,9C,0,0,0,1,10A,0,0,0,49.1262,10B,0,0,0,76.6544,10C,0,0,0,238.52,10D,0,0,,150,10E,0,0,0,428,10F,0,0,0,276,10G,0,0,0,34,10H,0,0,0,34664.08,10I,0,0,0,406,TracyYoung,CEO
59894,2019-03-31,Amanda Logan,Corporate Counsel,15 Bull Street,#200,Savannah,Ga,31401,2685,9125032826,8665914638,0,1,0,0,0,141,2,0,0,0,147,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,1102.047347,7,0,0,0,176118.53,8,0,0,0,15,9A,0,0,0,0,9B,0,0,0,0,9C,0,0,0,0,10A,0,0,0,49.3491,10B,0,0,0,83.3539,10C,0,0,0,243.86,10D,0,0,,150,10E,0,0,0,476,10F,0,0,0,251,10G,0,0,0,35,10H,0,0,0,31359.51,10I,0,0,0,409,TracyYoung,CEO
59896,2019-03-31,Amanda Logan,Corporate Counsel,15 Bull Street,#200,Savannah,Ga,31401,2685,9125032826,8665914638,0,1,0,0,49,13,2,0,0,63,13,3,0,0,51,0,4,0,0,28,0,5,0,0,18,0,6,0,0,2083.36746,898.076923,7,0,0,124555.05,18751.07,8,0,0,9,0,9A,0,0,1.678571,0,9B,0,0,2,0,9C,0,0,2,0,10A,0,0,7.9888,86.94,10B,0,0,12.5601,159.7181,10C,0,0,19.176,216.448,10D,0,0,30,150,10E,0,0,152,10,10F,0,0,377,13,10G,0,0,19,2,10H,0,0,51182.13,1825,10I,0,0,150,19,TracyYoung,CEO
59897,2019-03-31,Amanda Logan,Corporate Counsel,15 Bull Street,#200,Savannah,Ga,31401,2685,9125032826,8665914638,0,1,0,0,0,64,2,0,0,0,65,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,1603.225231,7,0,0,0,96792.04,8,0,0,0,30,9A,0,0,0,0,9B,0,0,0,0,9C,0,0,0,0,10A,0,0,0,54.1497,10B,0,0,0,73.8515,10C,0,0,0,98.2676,10D,0,0,,150,10E,0,0,0,200,10F,0,0,0,100,10G,0,0,0,10,10H,0,0,0,13049.01,10I,0,0,0,176,TracyYoung,CEO
59898,2019-03-31,Amanda Logan,Corporate Counsel,15 Bull Street,#200,Savannah,Ga,31401,2685,9125032826,8665914638,0,1,0,0,0,125,2,0,0,0,133,3,0,0,0,1,4,0,0,0,1,5,0,0,0,0,6,0,0,0,1326.448872,7,0,0,0,183114.21,8,0,0,0,19,9A,0,0,0,1,9B,0,0,0,1,9C,0,0,0,1,10A,0,0,0,50.0072,10B,0,0,0,85.2908,10C,0,0,0,284.8,10D,0,0,,150,10E,0,0,0,377,10F,0,0,0,222,10G,0,0,0,24,10H,0,0,0,20824.77,10I,0,0,0,336,TracyYoung,CEO
59899,2019-03-31,Amanda Logan,Corporate Counsel,15 Bull Street,#200,Savannah,Ga,31401,2685,9125032826,8665914638,0,1,0,0,0,185,2,0,0,0,189,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,1332.989418,7,0,0,0,268397.6,8,0,0,0,74,9A,0,0,0,0,9B,0,0,0,0,9C,0,0,0,0,10A,0,0,0,39.3109,10B,0,0,0,79.2991,10C,0,0,0,229.2633,10D,0,0,,150,10E,0,0,0,725,10F,0,0,0,326,10G,0,0,0,34,10H,0,0,0,42341.28,10I,0,0,0,568,TracyYoung,CEO
59901,2019-03-31,Amanda Logan,Corporate Counsel,15 Bull Street,#200,Savannah,Ga,31401,2685,9125032826,8665914638,0,1,0,0,262,15,2,0,0,291,15,3,0,0,234,0,4,0,0,132,0,5,0,0,74,0,6,0,0,2025.42457,555,7,0,0,554837.67,16337.31,8,0,0,84,0,9A,0,0,1.674242,0,9B,0,0,3,0,9C,0,0,1,0,10A,0,0,0.9999,107.324,10B,0,0,12.9647,194.5531,10C,0,0,19.873,222.1435,10D,0,0,30,150,10E,0,0,815,21,10F,0,0,1884,15,10G,0,0,109,0,10H,0,0,217935.27,0,10I,0,0,803,27,TracyYoung,CEO
59902,2019-03-31,Amanda Logan,Corporate Counsel,15 Bull Street,#200,Savannah,Ga,31401,2685,9125032826,8665914638,0,1,0,0,0,87,2,0,0,0,89,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,1070.906966,7,0,0,0,106555.23,8,0,0,0,13,9A,0,0,0,0,9B,0,0,0,0,9C,0,0,0,0,10A,0,0,0,49.679,10B,0,0,0,85.0471,10C,0,0,0,281.24,10D,0,0,,150,10E,0,0,0,267,10F,0,0,0,143,10G,0,0,0,29,10H,0,0,0,20895.44,10I,0,0,0,219,TracyYoung,CEO
59903,2019-03-31,Amanda Logan,Corporate Counsel,15 Bull Street,#200,Savannah,Ga,31401,2685,9125032826,8665914638,0,1,0,0,0,174,2,0,0,0,177,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,0,0,0,1191.337079,7,0,0,0,196291.56,8,0,0,0,8,9A,0,0,0,0,9B,0,0,0,0,9C,0,0,0,0,10A,0,0,0,44.9913,10B,0,0,0,75.3156,10C,0,0,0,216.445,10D,0,0,,150,10E,0,0,0,515,10F,0,0,0,293,10G,0,0,0,35,10H,0,0,0,29451.33,10I,0,0,0,439,TracyYoung,CEO
